36,33,11,0,0.286,58.33
13,27.571,10,1,0.286,58.33
18,21.857,11,0,0.143,58.33
11,21.286,13,1,0.429,58.33
10,21.286,12,0,2,58.33
15,20.429,13,1,2.143,58.33
15,16.857,14,0,2.286,58.33
20,14.571,9,1,2.429,58.33
32,17.286,9,1,2.429,58.33
17,17.143,10,0,2.429,58.33
17,18,14,0,2.286,55.56
9,17.857,15,1,2.857,55.56
3,16.143,17,0,2.857,55.56
19,16.714,17,0,2.714,55.56
20,16.714,17,0,2.571,55.56
23,15.429,17,0,2.571,55.56
20,15.857,10,1,2.571,55.56
9,14.714,13,1,2.429,46.3
7,14.429,11,0,0.286,46.3
16,16.286,13,0,0.286,46.3
23,16.857,12,0,0.286,46.3
33,18.714,14,0,0.857,46.3
19,18.143,13,0,0.857,46.3
31,19.714,20,0,0.857,46.3
23,21.714,18,1,0.857,46.3
14,22.714,13,0,1,46.3
23,23.714,14,1,1,46.3
33,25.143,16,0,1,46.3
13,22.286,18,0,0.429,46.3
35,24.571,18,0,0.429,46.3
8,21.286,16,0,0.429,46.3
49,25,16,0,0.429,46.3
18,25.571,15,0,0.429,46.3
22,25.429,18,2,0.143,35.19
44,27,21,0,0.143,35.19
52,32.571,22,0,0.143,35.19
58,35.857,23,0,0.429,35.19
69,44.571,24,0,0.429,35.19
62,46.429,19,1,0.429,35.19
35,48.857,21,0,0.286,35.19
62,54.571,24,1,0.286,35.19
137,67.857,20,1,0.429,35.19
116,77,18,1,0.429,35.19
134,87.857,18,0,0.143,35.19
97,91.857,18,0,0.143,39.35
70,93,18,2,0.429,39.35
47,94.714,19,1,0.571,39.35
54,93.571,17,0,0.571,39.35
129,92.429,16,0,0.857,39.35
88,88.429,15,1,1.143,39.35
104,84.143,14,1,1.143,39.35
127,88.429,15,0,1.143,39.35
66,87.857,16,1,1,39.35
63,90.143,15,1,0.857,39.35
70,92.429,14,0,1,39.35
132,92.857,14,0,0.714,39.35
142,100.571,16,2,0.571,39.35
92,98.857,17,1,0.571,39.35
110,96.429,17,0,0.571,39.35
99,101.143,18,0,0.429,39.35
43,98.286,21,1,0.429,39.35
108,103.714,19,1,0.714,39.35
141,105,20,1,0.714,39.35
117,101.429,22,1,0.714,39.35
154,110.286,22,1,0.714,39.35
148,115.714,23,0,0.714,39.35
110,117.286,20,1,0.857,39.35
65,120.429,18,0,1.286,39.35
132,123.857,15,0,1,39.35
193,131.286,17,1,0.857,39.35
220,146,17,0,0.714,39.35
210,154,17,3,0.714,39.35
180,158.571,18,0,0.714,43.06
138,162.571,16,1,0.571,43.06
66,162.714,16,0,0.286,43.06
130,162.429,19,0,0.714,43.06
181,160.714,20,0,1,43.06
181,155.143,18,1,1.286,43.06
161,148.143,17,1,1.286,43.06
182,148.429,18,2,1.429,43.06
152,150.429,22,1,1.429,43.06
105,156,17,0,1.429,43.06
187,164.143,17,0,1,43.06
274,177.429,14,2,0.714,43.06
234,185,14,0,0.571,43.06
268,200.286,13,0,0.714,43.06
253,210.429,15,1,0.571,43.06
200,217.286,15,1,0.714,43.06
128,220.571,19,1,1.286,43.06
197,222,19,3,1.143,43.06
311,227.286,17,1,1.429,43.06
266,231.857,13,2,1.286,43.06
306,237.286,15,2,1.143,43.06
295,243.286,14,3,1.143,43.06
276,254.143,15,1,1.143,43.06
157,258.286,17,1,1,43.06
202,259,16,7,1.143,43.06
383,269.286,17,0,1,43.06
361,282.857,21,4,1,43.06
340,287.714,20,3,1,43.06
376,299.286,18,1,1.143,43.06
292,301.571,18,0,1.571,43.06
163,302.429,18,3,1.429,43.06
216,304.429,17,5,2.857,43.06
370,302.571,12,4,3.143,43.06
364,303,12,2,3.571,43.06
405,312.286,15,1,3.571,43.06
425,319.286,12,0,3.429,43.06
444,341,13,3,3.571,43.06
191,345,13,1,3.714,43.06
245,349.143,10,1,3,43.06
469,363.286,11,3,2.714,43.06
405,369.143,12,1,2.714,43.06
528,386.714,14,2,2.714,43.06
465,392.429,13,1,2.714,43.06
475,396.857,15,3,2.143,43.06
257,406.286,16,1,2.143,43.06
315,416.286,17,0,2,43.06
514,422.714,17,5,1.857,43.06
530,440.571,16,1,1.571,43.06
488,434.857,12,0,1.714,43.06
0,368.429,10,1,1.857,43.06
0,300.571,10,2,1.857,43.06
1095,420.286,14,1,1.714,43.06
286,416.143,15,2,1.143,43.06
437,405.143,11,3,1.857,43.06
391,385.286,14,3,1.857,43.06
372,368.714,14,3,1.714,43.06
0,368.714,15,3,1.571,43.06
0,368.714,15,5,2.571,43.06
782,324,11,6,3.143,43.06
225,315.286,19,5,3.857,43.06
411,311.571,11,5,4,43.06
550,334.286,15,8,4.857,43.06
552,360,8,7,4.857,31.94
0,360,8,7,5,31.94
0,360,12,16,6,31.94
1548,469.429,11,13,6,31.94
700,537.286,10,18,0,31.94
1077,632.429,8,24,0,31.94
